Open,Max,Min,Close,UP,Uprate,predict,amount,opinion,date
3128.37,3168.13,3113.61,3154.13,24.28,0.78,-0.00207798,15331083000,0,20180212
3176.11,3219.22,3176.11,3184.96,30.83,0.98,0.000908788,15152760000,1,20180213
3188.25,3203.5,3171.38,3199.16,14.2,0.45,-0.010288781,10032282700,1,20180214
3237.57,3269.92,3234.12,3268.56,69.4,2.17,0.003954956,13873045000,0,20180222
3275.43,3294.13,3258.49,3289.02,20.46,0.63,0.007880226,14579037000,0,20180223
3307.3,3335.99,3281.62,3329.57,40.55,1.23,-0.003467832,18856860000,0,20180226
3328.67,3328.67,3284.63,3292.07,-37.5,-1.13,0.003970958,17421937000,0,20180227
3264.06,3277.83,3239.84,3259.41,-32.66,-0.99,0.000790728,15104354000,0,20180228
3235.09,3280.15,3228.58,3273.75,14.34,0.44,0.002806164,15909832000,0,20180301
3248.45,3269.94,3242.27,3254.53,-19.22,-0.59,1.45E-05,15086106000,1,20180302
3255.87,3269.4,3236.72,3256.93,2.4,0.07,-0.001365045,14483599000,0,20180305
3266.49,3290.25,3243.65,3289.64,32.71,1,0.005105317,19535805000,0,20180306
3288.86,3308.41,3264.76,3271.67,-17.97,-0.55,-0.002428362,16866502000,1,20180307
3268.35,3289.5,3261.55,3288.41,16.74,0.51,-0.00023653,14982752000,1,20180308
3291.43,3309.72,3283.56,3307.17,18.76,0.57,0.006391991,16842451000,1,20180309
3319.21,3333.56,3313.56,3326.7,19.53,0.59,0.013967075,20653244000,1,20180312
3324.12,3333.88,3307.38,3310.24,-16.46,-0.49,0.000369452,17711435000,0,20180313
3298.67,3304.98,3287.36,3291.38,-18.86,-0.57,0.005580327,15749109000,0,20180314
3277.51,3297.1,3273.2,3291.11,-0.27,-0.01,0.000176257,14857361000,1,20180315
3290.21,3300.57,3269.28,3269.88,-21.23,-0.65,0.005601296,14120365000,0,20180316
3264.93,3280.57,3251.05,3279.25,9.37,0.29,0.003546663,13795498000,0,20180319
3257.22,3292.57,3252.43,3290.64,11.39,0.35,-0.001015833,13988108000,0,20180320
3299.73,3314.21,3268.88,3280.95,-9.69,-0.29,0.001888301,16839828000,0,20180321
3281.27,3288.8,3242.76,3263.48,-17.47,-0.53,0.007184979,15043298000,0,20180322
3172.77,3188.24,3110.66,3152.76,-110.72,-3.39,0.005416781,27553201000,1,20180323
3117.32,3134.28,3091.46,3133.72,-19.04,-0.6,0.006438553,18636635000,0,20180326
3164.8,3172.78,3143.57,3166.65,32.93,1.05,-0.001345983,18907338000,1,20180327
3130.57,3165.21,3117.53,3122.29,-44.36,-1.4,-0.001752844,16350049000,1,20180328
3127.26,3174.51,3098.25,3160.53,38.24,1.22,0.001757616,17031238000,0,20180329
3161.79,3177.72,3152.89,3168.9,8.37,0.26,0.007675115,15464660000,1,20180330
3169.78,3192.34,3159.99,3163.18,-5.72,-0.18,0.006269222,17772778000,1,20180402
3130.01,3144.33,3119.13,3136.63,-26.55,-0.84,0.004671983,15221667000,0,20180403
3147.05,3163.34,3128.87,3131.11,-5.52,-0.18,-0.003118692,14697668000,1,20180404
3125.44,3146.09,3110.3,3138.29,7.18,0.23,0.002716947,13960862000,1,20180409
3144.26,3190.65,3139.08,3190.32,52.03,1.66,0.001622884,16820136000,0,20180410
3197.37,3220.85,3191.59,3208.08,17.76,0.56,0.00531619,17586720000,0,20180411
3203.28,3205.25,3177.05,3180.16,-27.92,-0.87,0.007153381,14823131000,0,20180412
3192.04,3197.9,3155.51,3159.05,-21.11,-0.66,2.93E-05,12755231000,1,20180413
